left,right,distance,size
6.600000000000000000e+01,1.680000000000000000e+02,5.677788666666667261e+00,4.000000000000000000e+00
1.700000000000000000e+02,1.790000000000000000e+02,5.779534749999999832e+00,8.000000000000000000e+00
1.770000000000000000e+02,1.810000000000000000e+02,5.881759699999999924e+00,9.000000000000000000e+00
5.300000000000000000e+01,5.900000000000000000e+01,6.125670999999999644e+00,2.000000000000000000e+00
1.760000000000000000e+02,1.820000000000000000e+02,6.280944625000000059e+00,1.300000000000000000e+01
1.620000000000000000e+02,1.630000000000000000e+02,6.469834500000000155e+00,4.000000000000000000e+00
4.100000000000000000e+01,4.200000000000000000e+01,6.622348999999999819e+00,2.000000000000000000e+00
6.500000000000000000e+01,1.550000000000000000e+02,6.714285499999999907e+00,3.000000000000000000e+00
1.850000000000000000e+02,1.860000000000000000e+02,6.818247384615384377e+00,1.700000000000000000e+01
9.300000000000000000e+01,1.250000000000000000e+02,6.843736999999999959e+00,2.000000000000000000e+00
1.730000000000000000e+02,1.830000000000000000e+02,6.999246722222221884e+00,1.100000000000000000e+01
5.200000000000000000e+01,5.700000000000000000e+01,7.264293000000000333e+00,2.000000000000000000e+00
1.840000000000000000e+02,1.920000000000000000e+02,7.470915500000000264e+00,4.000000000000000000e+00
1.900000000000000000e+02,1.910000000000000000e+02,7.534563909090909561e+00,1.300000000000000000e+01
3.500000000000000000e+01,1.110000000000000000e+02,7.636968000000000423e+00,2.000000000000000000e+00
4.300000000000000000e+01,4.700000000000000000e+01,7.799828999999999901e+00,2.000000000000000000e+00
1.190000000000000000e+02,1.230000000000000000e+02,7.955208999999999975e+00,2.000000000000000000e+00
1.880000000000000000e+02,1.890000000000000000e+02,7.981229784313724984e+00,2.000000000000000000e+01
1.390000000000000000e+02,1.780000000000000000e+02,8.047612666666667636e+00,4.000000000000000000e+00
1.260000000000000000e+02,1.400000000000000000e+02,8.083392999999999162e+00,2.000000000000000000e+00
3.300000000000000000e+01,6.300000000000000000e+01,8.217781999999999698e+00,2.000000000000000000e+00
1.220000000000000000e+02,1.970000000000000000e+02,8.264665000000000816e+00,3.000000000000000000e+00
1.940000000000000000e+02,1.980000000000000000e+02,8.342260684615384392e+00,3.300000000000000000e+01
1.180000000000000000e+02,1.590000000000000000e+02,8.472366250000000321e+00,5.000000000000000000e+00
